6669_0:0008fc	6669_0	XP_046437925.1	124189016				lysosomal thioesterase PPT2-A-like
40151_0:0033ac	40151_0	XP_029098161.1	PPT2				lysosomal thioesterase PPT2 isoform X1
7137_0:000f07	7137_0	XP_026758321.1	LOC113517776	A0A6J1WSE8			LOC113517776
1720309_0:003c47	1720309_0	XP_020908270.1	LOC110246285				lysosomal thioesterase PPT2-A-like
8019_0:00579d	8019_0	XP_020361344.1	LOC109907658				lysosomal thioesterase PPT2-A-like isoform X1
8177_0:000afe	8177_0	XP_036948626.1	119016664				lysosomal thioesterase PPT2
1606681_0:004e6c	1606681_0	XP_043078927.1	122327547				uncharacterized protein wu:fb55g09
139723_0:002795	139723_0	ACUA022535	ACUA022535	A0A182MNI9			A0A182MNI9_9DIPT
29088_0:00296c	29088_0	XP_021552798.1	PPT2	A0A2Y9HM21			PPT2
88082_0:000a5b	88082_0	XP_039192575.1	120305194				lysosomal thioesterase PPT2 isoform X1
63155_0:002b36	63155_0	XP_030597656.1	ppt2b				lysosomal thioesterase PPT2
433405_0:0033ae	433405_0	XP_031722386.1	ppt2b				lysosomal thioesterase PPT2-A-like
132908_0:003b1e	132908_0	XP_023378881.1	PPT2	A0A6P6BUW5			PPT2
941984_0:0030aa	941984_0	XP_040909889.1	121192320				lysosomal thioesterase PPT2
8019_0:000afb	8019_0	XP_020364009.1	LOC109909354				lysosomal thioesterase PPT2-A-like
7226_0:00098a	7226_0	XP_033161256.1	LOC117141741	A0A6P8KDF5			LOC117141741
1841481_0:000a66	1841481_0	XP_023251876.1	LOC111646575				uncharacterized protein LOC111646575
9597_0:001bb0	9597_0	XP_003829815.1	PPT2	A0A2R9CIZ8			PPT2
8218_0:000c4c	8218_0	XP_034067346.1	LOC117543282	A0A6P8TST3			LOC117543282
27622_0:00488c	27622_0	XP_036104054.1	118620997				lysosomal thioesterase PPT2
8022_0:009b49	8022_0	XP_036826811.1	LOC110519740	A0A060WNJ5			A0A060WNJ5_ONCMY
9749_0:001e61	9749_0	XP_022408176.1	CCER1	A0A2Y9LHF4			CCER1
6596_0:00056e	6596_0	XP_045204556.1	123557250				lysosomal thioesterase PPT2-A-like
1841481_0:001435	1841481_0	XP_023257529.1	ppt2b	A0A3B4YLQ2			A0A3B4YLQ2_SERLL
29078_0:003c9a	29078_0	XP_027989565.1	PPT2				lysosomal thioesterase PPT2 isoform X1
89462_0:00056c	89462_0	XP_006059229.1	PPT2				lysosomal thioesterase PPT2 isoform X1
143948_0:002305	143948_0	XP_015374015.1	LOC107168959				uncharacterized protein LOC107168959
175797_0:00232f	175797_0	XP_046714730.1	124393002				lysosomal thioesterase PPT2
28829_0:0014dc	28829_0	XP_043879061.1	122767686				uncharacterized protein wu:fb55g09
90247_0:000ef3	90247_0	XP_026964051.1	CCER1				coiled-coil domain-containing glutamate-rich protein 1
52904_0:001b3d	52904_0	XP_035487999.2	118309704				coiled-coil domain-containing glutamate-rich protein 1
935657_0:00052d	935657_0	XP_043265319.1	122404960				lysosomal thioesterase PPT2 homolog
9913_0:0042cf	9913_0	XP_005223713.1	PPT2	A0A3Q1M446			PPT2
74869_0:002145	74869_0	AMAM011658	AMAM011658	A0A182SQZ5			A0A182SQZ5_9DIPT
74926_0:003c25	74926_0	XP_044837876.1	123345224				lysosomal thioesterase PPT2
7092_0:0027a7	7092_0	XP_028038400.1	LOC114249127	A0A6J2K8V6			LOC114249127
9978_0:001968	9978_0	XP_004598734.1	PPT2				lysosomal thioesterase PPT2
7111_0:00275c	7111_0	XP_026737931.1	LOC113501110	A0A7E5WCP8			LOC113501110
118141_0:0056b4	118141_0	XP_036411241.1	118796468				lysosomal thioesterase PPT2
37623_0:003c98	37623_0	XP_048778352.1	125682019				lysosomal thioesterase PPT2-A-like isoform X1
278164_0:002940	278164_0	XP_048110196.1	125301611				uncharacterized protein wu:fb55g09
109478_0:000aec	109478_0	XP_005859973.2	PPT2				lysosomal thioesterase PPT2
8090_0:00383e	8090_0	XP_004078532.3	LOC101157806	A0A3B3HUN2			LOC101157806
28829_0:00267b	28829_0	XP_043889765.1	122774490				lysosomal thioesterase PPT2-like
336983_0:001d57	336983_0	XP_011800162.1	PPT2	A0A2K5HHB4			PPT2
41895_0:0025bd	41895_0	XP_044267330.1	123013069				lysosomal thioesterase PPT2 homolog
7461_0:00134c	7461_0	XP_016909585.1	LOC107996175				lysosomal thioesterase PPT2 homolog isoform X1
307658_0:001524	307658_0	XP_012523349.1	LOC105829210				lysosomal thioesterase PPT2 homolog
9771_0:002b67	9771_0	XP_036724354.1	118903405				lysosomal thioesterase PPT2 isoform X1
75038_0:004430	75038_0	XP_046273591.1	124074577				lysosomal thioesterase PPT2
116153_0:001c00	116153_0	XP_019871099.1	LOC109599537				lysosomal thioesterase PPT2 homolog
441366_0:000f8f	441366_0	XP_028303405.1	wu:fb55g09				uncharacterized protein LOC114463805 isoform X1
28737_0:00377b	28737_0	XP_006896216.1	PPT2				lysosomal thioesterase PPT2
198719_0:0006c3	198719_0	XP_034472632.1	LOC117780284				lysosomal thioesterase PPT2 homolog isoform X1
291302_0:0031fc	291302_0	XP_016070824.1	LOC107538984				epidermal growth factor-like protein 8
9365_0:0020eb	9365_0	XP_007524303.1	CCER1	A0A1S2ZTG9			CCER1
80972_0:0057e2	80972_0	XP_023117887.1	wu:fb55g09				coiled-coil domain-containing glutamate-rich protein 1-like
38674_0:0040a8	38674_0	XP_036024090.1	118569924				lysosomal thioesterase PPT2 isoform X1
75366_0:0013e5	75366_0	XP_016123478.1	LOC107582233	A0A672MB62			LOC107582233
9685_0:00228e	9685_0	XP_023113061.2	CCER1				coiled-coil domain-containing glutamate-rich protein 1
1026970_0:004746	1026970_0	XP_008819691.1	Ppt2				lysosomal thioesterase PPT2 isoform X2
10090_0:004d12	10090_0	XP_006524697.1	Ppt2	O35448			Lysosomal thioesterase PPT2
50954_0:002da4	50954_0	XP_037375348.1	119252243				lysosomal thioesterase PPT2 isoform X1
35005_0:0009fe	35005_0	XP_032067617.1	PPT2				lysosomal thioesterase PPT2
7913_0:005271	7913_0	XP_041081532.1	121298473				uncharacterized protein LOC121298473
137520_0:00173d	137520_0	XP_046881158.1	124470959				coiled-coil domain-containing glutamate-rich protein 1
210632_0:003df5	210632_0	XP_028280896.1	LOC114448253	A0A6P7JZD1			LOC114448253
8128_0:005af0	8128_0	XP_003452518.2	ppt2	A0A669E3C1			ppt2
261658_0:001da6	261658_0	XP_004355702.1	ppt2				palmitoyl-protein thioesterase 2
166423_0:001156	166423_0	Mqua04321	Mqua04321	A0A0N0BCW2			A0A0N0BCW2_9HYME
8103_0:001006	8103_0	XP_034389493.1	wu:fb55g09				coiled-coil domain-containing glutamate-rich protein 1
29144_0:00384f	29144_0	XP_030638877.1	LOC115819509	A0A6J2W3W6			LOC115819509
161584_0:0012b7	161584_0	XP_037108330.1	119123387				uncharacterized protein wu:fb55g09
51338_0:0052b8	51338_0	XP_020010564.1	Ccer1				coiled-coil domain-containing glutamate-rich protein 1
9305_0:003050	9305_0	XP_003768994.1	PPT2				lysosomal thioesterase PPT2
9447_0:002103	9447_0	XP_045411081.1	123640494				coiled-coil domain-containing glutamate-rich protein 1
54180_0:0013de	54180_0	XP_033072601.1	PPT2				lysosomal thioesterase PPT2 isoform X1
225400_0:0012d6	225400_0	XP_015416554.1	CCER1	L5M5H3			L5M5H3_MYODS
33412_0:00023b	33412_0	XP_038217465.1	119836227				lysosomal thioesterase PPT2 homolog
50429_0:001801	50429_0	XP_022784625.1	ppt2-a	A0A2B4SL32			ppt2-a
9796_0:004018	9796_0	XP_023480420.1	PPT2	F6RR71			PPT2
13616_0:001d63	13616_0	XP_007483664.1	PPT2	A0A5F8GWX6			PPT2
48193_0:003af8	48193_0	XP_047460199.1	125019471				lysosomal thioesterase PPT2
35658_0:003dda	35658_0	XP_031205906.1	Ccer1				coiled-coil domain-containing glutamate-rich protein 1
9691_0:004d0b	9691_0	XP_019294347.1	PPT2	A0A6P4V3B0			PPT2
6596_0:0003b3	6596_0	XP_045211280.1	123562734				LOW QUALITY PROTEIN: lysosomal thioesterase PPT2-A-like
7274_0:00206e	7274_0	XP_020807022.1	LOC110183171				lysosomal thioesterase PPT2 homolog
10020_0:000423	10020_0	XP_012874338.1	Ccer1	A0A1S3FCK4			Ccer1
106734_0:00282b	106734_0	XP_032648190.1	PPT2				lysosomal thioesterase PPT2
8040_0:008db8	8040_0	XP_038839845.1	120037974				coiled-coil domain-containing glutamate-rich protein 1
10117_0:000744	10117_0	XP_032746674.1	Ccer1				coiled-coil domain-containing glutamate-rich protein 1
80966_0:00460b	80966_0	XP_022071936.1	wu:fb55g09	A0A3Q1HS82			A0A3Q1HS82_9TELE
125878_0:0012ae	125878_0	XP_018411365.1	PPT2				lysosomal thioesterase PPT2
7111_0:002846	7111_0	XP_026745097.1	LOC113506442	A0A7E5WXR8			LOC113506442
8177_0:004181	8177_0	XP_036930620.1	119006232				lysosomal thioesterase PPT2-like
121224_0:0020a9	121224_0	XP_002424951.1	8236605	E0VFQ7			8236605
12957_0:001157	12957_0	XP_012055412.1	105618489	A0A158ND04			105618489
241271_0:003deb	241271_0	XP_041665574.1	121524307				lysosomal thioesterase PPT2
9423_0:0046b0	9423_0	XP_045681922.1	123810343				lysosomal thioesterase PPT2
7957_0:004ab0	7957_0	XP_026054303.1	LOC113040198	A0A6P6J492			LOC113040198
